Designator,Mid X,Mid Y,Layer,Rotation
C1,117.3800mm,-125.1299mm,bottom,0.0
C10,122.3800mm,-125.1299mm,bottom,0.0
C11,124.7800mm,-125.1299mm,bottom,0.0
C12,122.0265mm,-126.5222mm,bottom,0.0
C13,122.6218mm,-127.4124mm,top,180.0
C14,117.5419mm,-123.6436mm,bottom,0.0
C15,119.6976mm,-119.6010mm,bottom,0.0
C16,114.7549mm,-116.5415mm,bottom,0.0
C17,123.8650mm,-115.6451mm,bottom,0.0
C18,129.9886mm,-116.0255mm,bottom,0.0
C19,123.8806mm,-118.2487mm,bottom,0.0
C2,125.6623mm,-122.7829mm,bottom,0.0
C21,127.7450mm,-114.1729mm,bottom,0.0
C22,129.2500mm,-107.9500mm,bottom,0.0
C23,129.3712mm,-110.4284mm,bottom,0.0
C26,139.4500mm,-126.1697mm,bottom,0.0
C27,136.8500mm,-126.1697mm,bottom,0.0
C28,126.2001mm,-143.7511mm,top,180.0
C29,118.8523mm,-144.2500mm,top,180.0
C3,125.6399mm,-113.7679mm,bottom,0.0
C30,118.8247mm,-142.6935mm,top,180.0
C31,121.6444mm,-111.9341mm,bottom,0.0
C32,120.4387mm,-113.3837mm,bottom,0.0
C33,123.5500mm,-113.3569mm,bottom,0.0
C34,119.5938mm,-111.7234mm,bottom,0.0
C35,117.5841mm,-113.4189mm,bottom,0.0
C36,139.3266mm,-113.1592mm,bottom,0.0
C4,111.0856mm,-109.0896mm,bottom,0.0
C41,113.7073mm,-106.8727mm,bottom,0.0
C42,122.1001mm,-101.6350mm,bottom,0.0
C43,119.7800mm,-125.1299mm,bottom,0.0
C44,119.7338mm,-126.5222mm,bottom,0.0
C45,123.8782mm,-131.1110mm,top,180.0
C46,123.2601mm,-129.2089mm,top,180.0
C49,135.6001mm,-112.5926mm,bottom,180.0
C5,110.8301mm,-123.5800mm,bottom,0.0
C50,143.3074mm,-116.0000mm,bottom,180.0
C51,140.5000mm,-120.8074mm,bottom,180.0
C52,138.1300mm,-104.0028mm,bottom,180.0
C56,143.3074mm,-117.2000mm,bottom,180.0
C57,143.3074mm,-119.5001mm,bottom,180.0
C58,142.5074mm,-120.7001mm,bottom,180.0
C59,133.9950mm,-121.3950mm,bottom,180.0
C6,117.6727mm,-127.9146mm,top,180.0
C65,109.0749mm,-143.7511mm,bottom,180.0
C66,129.8650mm,-123.9251mm,bottom,180.0
C7,110.2388mm,-112.4082mm,bottom,0.0
C8,125.9299mm,-112.5800mm,bottom,0.0
C9,111.2281mm,-110.4875mm,bottom,0.0
D1,105.0350mm,-120.9364mm,bottom,0.0
D2,121.5500mm,-139.8600mm,top,0.0
D3,117.5500mm,-129.9500mm,top,0.0
D4,137.2718mm,-111.6432mm,top,0.0
DZ1,107.2500mm,-103.3500mm,bottom,180.0
J1,122.5000mm,-103.8250mm,top,180.0
J11,103.8400mm,-132.8200mm,bottom,90.0
J12,130.9500mm,-103.4500mm,top,180.0
J2,103.7900mm,-118.1000mm,top,270.0
J3,134.7300mm,-130.5200mm,top,0.0
J5,141.6600mm,-130.9200mm,bottom,270.0
J8,122.2000mm,-134.4850mm,bottom,0.0
J9,103.6250mm,-129.7800mm,top,270.0
L1,125.5320mm,-127.5926mm,top,180.0
L2,130.7900mm,-108.5500mm,top,0.0
Q1,142.3800mm,-110.7700mm,top,0.0
Q4,102.4500mm,-104.0500mm,bottom,180.0
R1,141.6550mm,-123.9150mm,top,0.0
R10,111.3301mm,-120.9462mm,bottom,0.0
R11,124.0167mm,-119.4973mm,bottom,0.0
R12,123.8288mm,-112.1444mm,bottom,0.0
R14,108.5500mm,-123.9500mm,top,0.0
R16,134.9715mm,-104.1350mm,top,0.0
R17,108.6950mm,-101.7550mm,top,90.0
R18,117.5800mm,-122.0122mm,bottom,0.0
R19,117.4384mm,-126.5406mm,bottom,0.0
R20,128.9500mm,-139.9500mm,top,0.0
R21,134.1901mm,-139.6550mm,top,0.0
R22,111.3849mm,-128.4950mm,bottom,0.0
R23,111.3849mm,-129.8850mm,bottom,0.0
R24,111.3849mm,-131.2750mm,bottom,0.0
R25,111.3849mm,-132.6650mm,bottom,0.0
R26,111.3849mm,-134.0550mm,bottom,0.0
R27,111.3849mm,-135.4450mm,bottom,0.0
